VIN,"Stock Number",New/Used,MSRP,Year,Make,Model,"Body Style",Series,"Exterior Colour","Interior Colour",Trim,"Engine Size","Cylinder Count","Door Count","Drive configuration","Additional Options","Current Miles","Date Added to Inventory",Status,"Fuel Type","Vehicle Location","Certified Pre-owned",Price,"Transmission Description","Internet Description","Vehicle Class","Main Photo","Main Photo Last Modified Date","Extra Photos","Extra Photo Last Modified Date"
5TDXZ3DC2HS865684,E2805,Used,27988,2017,Toyota,Sienna,van,,red,black,SE,3.5l,6,"4 Dr",FWD,"BACK-UP CAMERA; LEATHER; VOICE COMMAND/ RECOGNITION; BLUETOOTH CONNECTIVITY; POWER REAR HATCH; HEATED SEATS - DRIVER AND PASSENGER; 8 PASSENGER; HEATED MIRRORS; POWER STEERING; AIR CONDITIONING; INTERIOR SHADES; POWER WINDOWS; AIRBAG FRONT LEFT; LEFT CURTAIN AIRBAG; REAR SHADES; AIRBAG FRONT LEFT; LF SIDE AIRBAG; RF SIDE AIRBAG; AIRBAG FRONT RIGHT; LR SIDE AIRBAG; RR SIDE AIRBAG; AM/FM/CD; MP3 CAPABILITY; SEAT - POWER DRIVER AND PASSENGER; CRUISE CONTROL; MP3 INPUT JACK; TELESCOPE; DUAL AIR BAGS; POWER LIFTGATE; TRACTION CONTROL; FOG LIGHTS; POWER LOCKS; USB INPUT; HARD TOP; POWER MIRRORS; 2 YEAR FREE OIL CHANGES INCLUDED ON ALL OUR CERTIFIED VEHICLES",121564,07/23/2020,"In Stock","regular unleaded",Dundas,TRUE,27988,Automatic,"Looking to Purchase or Finance a Toyota Sienna or just a Toyota Van? We carry 100's of handpicked vehicles and have multiple Toyota Vans in stock! Visit us online at www.EmpireAutoGroup.ca to view our full line-up of Toyota Siennas or  similar Vans. New Vehicles Arriving Daily! FINANCING AVAILABLE FOR THIS LIKE NEW TOYOTA SIENNA! REGARDLESS OF YOUR CURRENT CREDIT SITUATION! APPLY WITH CONFIDENCE! SAME DAY APPROVALS! www.EMPIREAUTOGROUP.CA or CALL 519-659-0888. THIS LIKE NEW TOYOTA SIENNA INCLUDES: * Wide range of options that you will enjoy. * Comfortable interior seating. * Safety Options to protect your loved ones. * This handpicked Toyota Sienna has Empire Auto Group's Seal of Approval. * This Toyota Sienna looks sharp in red. SEE MORE AT : www.EMPIREAUTOGROUP.CA.",van,https://empireautolondon.com/inventory/E2805/01.jpg,"17/08/2020 13:25:59",https://empireautolondon.com/inventory/tile2.jpg;https://empireautolondon.com/inventory/E2805/02.jpg;https://empireautolondon.com/inventory/E2805/03.jpg;https://empireautolondon.com/inventory/E2805/04.jpg;https://empireautolondon.com/inventory/E2805/05.jpg;https://empireautolondon.com/inventory/E2805/06.jpg;https://empireautolondon.com/inventory/E2805/07.jpg;https://empireautolondon.com/inventory/E2805/08.jpg;https://empireautolondon.com/inventory/E2805/09.jpg,"06/07/2020 10:45:58;17/08/2020 13:26:00;17/08/2020 13:26:00;17/08/2020 13:26:01;17/08/2020 13:26:01;17/08/2020 13:26:02;17/08/2020 13:26:03;17/08/2020 13:26:03;17/08/2020 13:26:04"
WA1MAAF77HD015019,E2773,Used,36988,2017,Audi,Q7,suv,,silver,black,,3.0L,6,"4 Dr",FWD,"Auto Leveling Headlights; Auxiliary Audio Input; Bluetooth Connection; Backup camera; Cooled Front Seat(s); Dual Zone A/C; HID Headlights; Heated Mirrors; Heated Rear Seat(s); Heated Seats-Front(s); Leather Seats; MP3 Compatible Stereo; Navigation System; Rear Parking Aid; Satellite Radio; Seat Memory; 2-Year free oil change included on all our certified vehicles;",100883,07/07/2020,"In Stock"," 6-cylinder Gas",Springbank,TRUE,36988,Automatic,"Looking to Purchase or Finance a Audi Q7 or just a Audi Suv? We carry 100's of handpicked vehicles and have multiple Audi Suvs in stock! Visit us online at www.EmpireAutoGroup.ca to view our full line-up of Audi Q7s or  similar Suvs. New Vehicles Arriving Daily! FINANCING AVAILABLE FOR THIS LIKE NEW AUDI Q7! REGARDLESS OF YOUR CURRENT CREDIT SITUATION! APPLY WITH CONFIDENCE! SAME DAY APPROVALS! www.EMPIREAUTOGROUP.CA or CALL 519-659-0888. THIS LIKE NEW AUDI Q7 INCLUDES: * Wide range of options that you will enjoy. * Comfortable interior seating. * Safety Options to protect your loved ones. * This handpicked Audi Q7 has Empire Auto Group's Seal of Approval. * This Audi Q7 looks sharp in silver. SEE MORE AT : www.EMPIREAUTOGROUP.CA.",suv,https://empireautolondon.com/inventory/default.jpg,"06/07/2020 10:45:58",https://empireautolondon.com/inventory/tile2.jpg,"06/07/2020 10:45:58"
5NPE34AF7HH474369,S4950,Used,20988,2017,Hyundai,Sonata,sedan,,white,other,SPORT,2.4l,4,4-Dr,FWD,"2-YEAR FREE OIL CHANGES INCLUDED ON ALL OUR CERTIFIED VEHICLES - BACK-UP CAMERA - LEATHER PARKING DISTANCE CONTROL (PDC) - BLUETOOTH CONNECTIVITY - MEMORY SEAT - SATELLITE RADIO SIRIUS - COOLED SEATS - NAVIGATION SYSTEM - WOOD TRIM - HEATED SEATS - DRIVER AND PASSENGER PANORAMA ROOF",86497,07/03/2020,"In Stock","regular unleaded",Southdale,TRUE,20988,Automatic,"Looking to Purchase or Finance a Hyundai Sonata or just a Hyundai Sedan? We carry 100's of handpicked vehicles and have multiple Hyundai Sedans in stock! Visit us online at www.EmpireAutoGroup.ca to view our full line-up of Hyundai Sonatas or  similar Sedans. New Vehicles Arriving Daily! FINANCING AVAILABLE FOR THIS LIKE NEW HYUNDAI SONATA! REGARDLESS OF YOUR CURRENT CREDIT SITUATION! APPLY WITH CONFIDENCE! SAME DAY APPROVALS! www.EMPIREAUTOGROUP.CA or CALL 519-659-0888. THIS LIKE NEW HYUNDAI SONATA INCLUDES: * Wide range of options that you will enjoy. * Comfortable interior seating. * Safety Options to protect your loved ones. * This handpicked Hyundai Sonata has Empire Auto Group's Seal of Approval. * This Hyundai Sonata looks sharp in white. SEE MORE AT : www.EMPIREAUTOGROUP.CA.",sedan,https://empireautolondon.com/inventory/default.jpg,"06/07/2020 10:45:58",https://empireautolondon.com/inventory/tile2.jpg,"06/07/2020 10:45:58"
1G1BE5SM3H7111435,S4947,Used,16988,2017,Chevrolet,Cruze,sedan,,grey,cloth,LT,1.4l,4,4-Dr,FWD,"2-YEAR FREE OIL CHANGES INCLUDED ON ALL OUR CERTIFIED VEHICLES",84608,07/03/2020,"In Stock","regular unleaded",Southdale,TRUE,16988,Automatic,"Looking to Purchase or Finance a Chevrolet Cruze or just a Chevrolet Sedan? We carry 100's of handpicked vehicles and have multiple Chevrolet Sedans in stock! Visit us online at www.EmpireAutoGroup.ca to view our full line-up of Chevrolet Cruzes or  similar Sedans. New Vehicles Arriving Daily! FINANCING AVAILABLE FOR THIS LIKE NEW CHEVROLET CRUZE! REGARDLESS OF YOUR CURRENT CREDIT SITUATION! APPLY WITH CONFIDENCE! SAME DAY APPROVALS! www.EMPIREAUTOGROUP.CA or CALL 519-659-0888. THIS LIKE NEW CHEVROLET CRUZE INCLUDES: * Wide range of options that you will enjoy. * Comfortable interior seating. * Safety Options to protect your loved ones. * This handpicked Chevrolet Cruze has Empire Auto Group's Seal of Approval. * This Chevrolet Cruze looks sharp in grey. SEE MORE AT : www.EMPIREAUTOGROUP.CA.",sedan,https://empireautolondon.com/inventory/S4947/01.jpg,"04/08/2020 09:41:25",https://empireautolondon.com/inventory/tile2.jpg;https://empireautolondon.com/inventory/S4947/02.jpg;https://empireautolondon.com/inventory/S4947/03.jpg;https://empireautolondon.com/inventory/S4947/04.jpg;https://empireautolondon.com/inventory/S4947/05.jpg;https://empireautolondon.com/inventory/S4947/06.jpg;https://empireautolondon.com/inventory/S4947/07.jpg;https://empireautolondon.com/inventory/S4947/08.jpg;https://empireautolondon.com/inventory/S4947/09.jpg;https://empireautolondon.com/inventory/S4947/10.jpg;https://empireautolondon.com/inventory/S4947/11.jpg;https://empireautolondon.com/inventory/S4947/12.jpg;https://empireautolondon.com/inventory/S4947/13.jpg;https://empireautolondon.com/inventory/S4947/14.jpg;https://empireautolondon.com/inventory/S4947/15.jpg,"06/07/2020 10:45:58;04/08/2020 09:41:25;04/08/2020 09:41:25;04/08/2020 09:41:25;04/08/2020 09:41:25;04/08/2020 09:41:25;04/08/2020 09:41:25;04/08/2020 09:41:25;04/08/2020 09:41:25;04/08/2020 09:41:25;04/08/2020 09:41:25;04/08/2020 09:41:25;04/08/2020 09:41:25;04/08/2020 09:41:25;04/08/2020 09:41:25"
2HGFC1F99HH101821,E2761,Used,23988,2017,Honda,"Civic ",sedan,,grey,leather,"TOURING PACKAGE",1.5L,4,"4 Dr",FWD,"5 PASSENGER HEATED MIRRORS SEAT - POWER DRIVER AND PASSENGER ACTIVE BLIND SPOT ASSIST INDEPENDENT CLIMATE CONTROL SIDE FRONT AIR BAGS AIRBAG FRONT LEFT OF SIDE AIRBAG SPOILER AIRBAG FRONT RIGHT LR SIDE AIRBAG TELESCOPE AIRBAG FRONT RIGHT YES MP3 CAPABILITY TILT WHEEL AM/FM POWER LOCKS TRACTION CONTROL CRUISE CONTROL POWER MIRRORS USB INPUT DUAL AIR BAGS POWER STEERING WARRANTY BOOK ELECTRIC MIRRORS POWER WINDOWS WARRANTY BOOK PRESENT FLOOR MATS RF SIDE AIRBAG FOG LIGHTS RR SIDE AIRBAG",42067,07/02/2020,"In Stock","REGULAR unleaded",Southdale,TRUE,23988,Automatic,"Looking to Purchase or Finance a Honda Civic  or just a Honda Sedan? We carry 100's of handpicked vehicles and have multiple Honda Sedans in stock! Visit us online at www.EmpireAutoGroup.ca to view our full line-up of Honda Civic s or  similar Sedans. New Vehicles Arriving Daily! FINANCING AVAILABLE FOR THIS LIKE NEW HONDA CIVIC ! REGARDLESS OF YOUR CURRENT CREDIT SITUATION! APPLY WITH CONFIDENCE! SAME DAY APPROVALS! www.EMPIREAUTOGROUP.CA or CALL 519-659-0888. THIS LIKE NEW HONDA CIVIC  INCLUDES: * Wide range of options that you will enjoy. * Comfortable interior seating. * Safety Options to protect your loved ones. * This handpicked Honda Civic  has Empire Auto Group's Seal of Approval. * This Honda Civic  looks sharp in grey. SEE MORE AT : www.EMPIREAUTOGROUP.CA.",sedan,https://empireautolondon.com/inventory/default.jpg,"06/07/2020 10:45:58",https://empireautolondon.com/inventory/tile2.jpg,"06/07/2020 10:45:58"
1FTFW1EF4HFB25796,E2732,Used,34238,2017,Ford,F-150,truck,,grey,grey,XLT,5.0L,8,"4 Dr",4WD,"BACK-UP CAMERA; BLUETOOTH CONNECTIVITY; VOICE COMMAND/ RECOGNITION; BED LINER; 6 PASSENGER; ELECTRIC WINDOWS; SIDE STEPS; AIR BAG – DUAL; FOG LIGHTS; TELESCOPE; AIR CONDITIONING; HARD TOP; TILT WHEEL; AIRBAG FRONT LEFT; LF SIDE AIRBAG; TRACTION CONTROL; AIRBAG FRONT RIGHT; POWER LOCKS; TRAILER HITCH; CD IN DASH; POWER MIRRORS; USB INPUT; CLOTH INTERIOR; POWER STEERING; COMPACT DISC; RF SIDE AIRBAG; CRUISE CONTROL;2-year free oil changes included on all our certified vehicles",57629,06/19/2020,"In Stock","regular unleaded",Dundas,TRUE,34238,Automatic,"Looking to Purchase or Finance a Ford F-150 or just a Ford Truck? We carry 100's of handpicked vehicles and have multiple Ford Trucks in stock! Visit us online at www.EmpireAutoGroup.ca to view our full line-up of Ford F-150s or  similar Trucks. New Vehicles Arriving Daily! FINANCING AVAILABLE FOR THIS LIKE NEW FORD F-150! REGARDLESS OF YOUR CURRENT CREDIT SITUATION! APPLY WITH CONFIDENCE! SAME DAY APPROVALS! www.EMPIREAUTOGROUP.CA or CALL 519-659-0888. THIS LIKE NEW FORD F-150 INCLUDES: * Wide range of options that you will enjoy. * Comfortable interior seating. * Safety Options to protect your loved ones. * This handpicked Ford F-150 has Empire Auto Group's Seal of Approval. * This Ford F-150 looks sharp in grey. SEE MORE AT : www.EMPIREAUTOGROUP.CA.",truck,https://empireautolondon.com/inventory/default.jpg,"06/07/2020 10:45:58",https://empireautolondon.com/inventory/tile2.jpg,"06/07/2020 10:45:58"
"KMHD84LF8HU388984 ",E2691,Used,18238,2017,Hyundai,Elantra,sedan,,silver,cloth,GL,1.8l,4,"4 Dr",FWD,"BACK-UP CAMERA; HEATED SEATS - DRIVER AND PASSENGER; 5 PASSENGER; ELECTRIC MIRRORS; SIDE FRONT AIR BAGS; AIR CONDITIONING; HARD TOP; AIRBAG FRONT RIGHT; POWER LOCKS; TILT WHEEL; AM/FM; POWER MIRRORS; TRACTION CONTROL; CLOTH SEATS; POWER STEERING; CRUISE CONTROL; POWER WINDOWS; DUAL AIR BAGS; 2-year free oil changes included on all our certified vehicles",36894,06/11/2020,"In Stock","regular unleaded",Southdale,TRUE,18238,Automatic,"Looking to Purchase or Finance a Hyundai Elantra or just a Hyundai Sedan? We carry 100's of handpicked vehicles and have multiple Hyundai Sedans in stock! Visit us online at www.EmpireAutoGroup.ca to view our full line-up of Hyundai Elantras or  similar Sedans. New Vehicles Arriving Daily! FINANCING AVAILABLE FOR THIS LIKE NEW HYUNDAI ELANTRA! REGARDLESS OF YOUR CURRENT CREDIT SITUATION! APPLY WITH CONFIDENCE! SAME DAY APPROVALS! www.EMPIREAUTOGROUP.CA or CALL 519-659-0888. THIS LIKE NEW HYUNDAI ELANTRA INCLUDES: * Wide range of options that you will enjoy. * Comfortable interior seating. * Safety Options to protect your loved ones. * This handpicked Hyundai Elantra has Empire Auto Group's Seal of Approval. * This Hyundai Elantra looks sharp in silver. SEE MORE AT : www.EMPIREAUTOGROUP.CA.",sedan,https://empireautolondon.com/inventory/E2691/01.jpg,"06/07/2020 12:29:25",https://empireautolondon.com/inventory/tile2.jpg;https://empireautolondon.com/inventory/E2691/02.jpg;https://empireautolondon.com/inventory/E2691/03.jpg;https://empireautolondon.com/inventory/E2691/04.jpg;https://empireautolondon.com/inventory/E2691/05.jpg;https://empireautolondon.com/inventory/E2691/06.jpg;https://empireautolondon.com/inventory/E2691/07.jpg;https://empireautolondon.com/inventory/E2691/08.jpg;https://empireautolondon.com/inventory/E2691/09.jpg,"06/07/2020 10:45:58;06/07/2020 12:29:25;06/07/2020 12:29:25;06/07/2020 12:29:25;06/07/2020 12:29:25;06/07/2020 12:29:25;06/07/2020 12:29:25;06/07/2020 12:29:25;06/07/2020 12:29:25"
1N4AL3AP7HN349833,E2687,Used,14238,2017,Nissan,Altima,sedan,,grey,cloth,SV,2.5l,4,"4 Dr",FWD,"2;5; 2;5L I4; CVT; FWD; Sedan Back-Up Camera; Cloth Seats; Enhanced Climate Control; Handsfree Connectivity; Heated Seats; Leather; Memory Seating; Navigation; Parking Assist; Power Seats; Power Sliding Doors; Rain Sensing Wipers; Remote Start; Steering Wheel Audio Controls; 2-year free oil changes included on all our certified vehicles",112485,06/09/2020,"In Stock","regular unleaded",Southdale,TRUE,14238,Automatic,"Looking to Purchase or Finance a Nissan Altima or just a Nissan Sedan? We carry 100's of handpicked vehicles and have multiple Nissan Sedans in stock! Visit us online at www.EmpireAutoGroup.ca to view our full line-up of Nissan Altimas or  similar Sedans. New Vehicles Arriving Daily! FINANCING AVAILABLE FOR THIS LIKE NEW NISSAN ALTIMA! REGARDLESS OF YOUR CURRENT CREDIT SITUATION! APPLY WITH CONFIDENCE! SAME DAY APPROVALS! www.EMPIREAUTOGROUP.CA or CALL 519-659-0888. THIS LIKE NEW NISSAN ALTIMA INCLUDES: * Wide range of options that you will enjoy. * Comfortable interior seating. * Safety Options to protect your loved ones. * This handpicked Nissan Altima has Empire Auto Group's Seal of Approval. * This Nissan Altima looks sharp in grey. SEE MORE AT : www.EMPIREAUTOGROUP.CA.",sedan,https://empireautolondon.com/inventory/E2687/01.jpg,"04/08/2020 09:39:22",https://empireautolondon.com/inventory/tile2.jpg;https://empireautolondon.com/inventory/E2687/02.jpg;https://empireautolondon.com/inventory/E2687/03.jpg;https://empireautolondon.com/inventory/E2687/04.jpg;https://empireautolondon.com/inventory/E2687/05.jpg;https://empireautolondon.com/inventory/E2687/06.jpg;https://empireautolondon.com/inventory/E2687/07.jpg;https://empireautolondon.com/inventory/E2687/08.jpg;https://empireautolondon.com/inventory/E2687/09.jpg;https://empireautolondon.com/inventory/E2687/10.jpg;https://empireautolondon.com/inventory/E2687/11.jpg;https://empireautolondon.com/inventory/E2687/12.jpg;https://empireautolondon.com/inventory/E2687/13.jpg;https://empireautolondon.com/inventory/E2687/14.jpg;https://empireautolondon.com/inventory/E2687/15.jpg,"06/07/2020 10:45:58;04/08/2020 09:39:22;04/08/2020 09:39:22;04/08/2020 09:39:22;04/08/2020 09:39:22;04/08/2020 09:39:22;04/08/2020 09:39:22;04/08/2020 09:39:22;04/08/2020 09:39:22;04/08/2020 09:39:22;04/08/2020 09:39:22;04/08/2020 09:39:22;04/08/2020 09:39:22;04/08/2020 09:39:22;04/08/2020 09:39:22"
JN1BJ1CR0HW109303,E2650,Used,20238,2017,Nissan,Qashqai,suv,,green,cloth,SV,2.0l,4,"4 Dr",AWD,"2 YEAR FREE OIL CHANGES INCLUDED ON ALL OUR CERTIFIED VEHICLES",40421,06/01/2020,"In Stock","regular unleaded",Southdale,TRUE,20238,Automatic,"Looking to Purchase or Finance a Nissan Qashqai or just a Nissan Suv? We carry 100's of handpicked vehicles and have multiple Nissan Suvs in stock! Visit us online at www.EmpireAutoGroup.ca to view our full line-up of Nissan Qashqais or  similar Suvs. New Vehicles Arriving Daily! FINANCING AVAILABLE FOR THIS LIKE NEW NISSAN QASHQAI! REGARDLESS OF YOUR CURRENT CREDIT SITUATION! APPLY WITH CONFIDENCE! SAME DAY APPROVALS! www.EMPIREAUTOGROUP.CA or CALL 519-659-0888. THIS LIKE NEW NISSAN QASHQAI INCLUDES: * Wide range of options that you will enjoy. * Comfortable interior seating. * Safety Options to protect your loved ones. * This handpicked Nissan Qashqai has Empire Auto Group's Seal of Approval. * This Nissan Qashqai looks sharp in green. SEE MORE AT : www.EMPIREAUTOGROUP.CA.",suv,https://empireautolondon.com/inventory/default.jpg,"06/07/2020 10:45:58",https://empireautolondon.com/inventory/tile2.jpg,"06/07/2020 10:45:58"
2T3WFREV5HW333514,E2636,Used,20738,2017,Toyota,"Rav 4",suv,,burgandy,cloth,LIMITED,2.5l,4,"4 Dr",FWD,"SUNROOF; 2 YEAR FREE OIL CHANGES INCLUDED ON ALL OUR CERTIFIED VEHICLES",107208,05/27/2020,"In Stock","regular unleaded",Dundas,TRUE,20738,Automatic,"Looking to Purchase or Finance a Toyota Rav 4 or just a Toyota Suv? We carry 100's of handpicked vehicles and have multiple Toyota Suvs in stock! Visit us online at www.EmpireAutoGroup.ca to view our full line-up of Toyota Rav 4s or  similar Suvs. New Vehicles Arriving Daily! FINANCING AVAILABLE FOR THIS LIKE NEW TOYOTA RAV 4! REGARDLESS OF YOUR CURRENT CREDIT SITUATION! APPLY WITH CONFIDENCE! SAME DAY APPROVALS! www.EMPIREAUTOGROUP.CA or CALL 519-659-0888. THIS LIKE NEW TOYOTA RAV 4 INCLUDES: * Wide range of options that you will enjoy. * Comfortable interior seating. * Safety Options to protect your loved ones. * This handpicked Toyota Rav 4 has Empire Auto Group's Seal of Approval. * This Toyota Rav 4 looks sharp in burgandy. SEE MORE AT : www.EMPIREAUTOGROUP.CA.",suv,https://empireautolondon.com/inventory/E2636/01.jpg,"04/08/2020 09:38:43",https://empireautolondon.com/inventory/tile2.jpg;https://empireautolondon.com/inventory/E2636/02.jpg;https://empireautolondon.com/inventory/E2636/03.jpg;https://empireautolondon.com/inventory/E2636/04.jpg;https://empireautolondon.com/inventory/E2636/05.jpg;https://empireautolondon.com/inventory/E2636/06.jpg;https://empireautolondon.com/inventory/E2636/07.jpg;https://empireautolondon.com/inventory/E2636/08.jpg;https://empireautolondon.com/inventory/E2636/09.jpg;https://empireautolondon.com/inventory/E2636/10.jpg;https://empireautolondon.com/inventory/E2636/11.jpg;https://empireautolondon.com/inventory/E2636/12.jpg;https://empireautolondon.com/inventory/E2636/13.jpg;https://empireautolondon.com/inventory/E2636/14.jpg;https://empireautolondon.com/inventory/E2636/15.jpg,"06/07/2020 10:45:58;04/08/2020 09:38:43;04/08/2020 09:38:43;04/08/2020 09:38:43;04/08/2020 09:38:43;04/08/2020 09:38:43;04/08/2020 09:38:43;04/08/2020 09:38:43;04/08/2020 09:38:43;04/08/2020 09:38:43;04/08/2020 09:38:43;04/08/2020 09:38:43;04/08/2020 09:38:43;04/08/2020 09:38:43;04/08/2020 09:38:43"
4T1BF1FK8HU765673,E2609,Used,22738,2017,Toyota,Camry,sedan,,grey,black,XSE,2.5l,4,"4 Dr",FWD,"BACK-UP CAMERA; NAVIGATION W/ HARD DRIVE; NAVIGATION SYSTEM; SUNROOF; 5 PASSENGER; DUAL AIR BAGS; AIR CONDITIONING; ELECTRIC MIRRORS; SEAT - POWER DRIVER AND PASSENGER; AIRBAG FRONT LEFT; POWER LOCKS; SIDE BOTH AIR BAGS; AIRBAG FRONT RIGHT; POWER MIRRORS; TRACTION CONTROL; AM/FM/CD; POWER STEERING; CRUISE CONTROL; POWER WINDOWS",30749,05/15/2020,"In Stock","regular unleaded",Springbank,TRUE,22738,Automatic,"Looking to Purchase or Finance a Toyota Camry or just a Toyota Sedan? We carry 100's of handpicked vehicles and have multiple Toyota Sedans in stock! Visit us online at www.EmpireAutoGroup.ca to view our full line-up of Toyota Camrys or  similar Sedans. New Vehicles Arriving Daily! FINANCING AVAILABLE FOR THIS LIKE NEW TOYOTA CAMRY! REGARDLESS OF YOUR CURRENT CREDIT SITUATION! APPLY WITH CONFIDENCE! SAME DAY APPROVALS! www.EMPIREAUTOGROUP.CA or CALL 519-659-0888. THIS LIKE NEW TOYOTA CAMRY INCLUDES: * Wide range of options that you will enjoy. * Comfortable interior seating. * Safety Options to protect your loved ones. * This handpicked Toyota Camry has Empire Auto Group's Seal of Approval. * This Toyota Camry looks sharp in grey. SEE MORE AT : www.EMPIREAUTOGROUP.CA.",sedan,https://empireautolondon.com/inventory/E2609/01.jpg,"06/07/2020 12:28:25",https://empireautolondon.com/inventory/tile2.jpg;https://empireautolondon.com/inventory/E2609/02.jpg;https://empireautolondon.com/inventory/E2609/03.jpg;https://empireautolondon.com/inventory/E2609/04.jpg;https://empireautolondon.com/inventory/E2609/05.jpg;https://empireautolondon.com/inventory/E2609/06.jpg;https://empireautolondon.com/inventory/E2609/07.jpg;https://empireautolondon.com/inventory/E2609/08.jpg,"06/07/2020 10:45:58;06/07/2020 12:28:25;06/07/2020 12:28:25;06/07/2020 12:28:25;06/07/2020 12:28:26;06/07/2020 12:28:26;06/07/2020 12:28:26;06/07/2020 12:28:26"
5N1AZ2MHXHN176568,E2600,Used,21245,2017,Nissan,Murano,suv,,black,cloth,SV,3.5l,6,"4 Dr",AWD,"SV; 3;5L V6; CVT; AWD; Sport Utility Back-Up Camera; Cloth Seats; Enhanced Climate Control; Handsfree Connectivity; Heated Seats; Navigation; Panoramic Roof; Power Liftgate; Power Seats; Remote Start; Steering Wheel Audio Controls; Sun/Moon Roof",96543,04/27/2020,"In Stock","regular unleaded",Dundas,TRUE,21245,Automatic,"Looking to Purchase or Finance a Nissan Murano or just a Nissan Suv? We carry 100's of handpicked vehicles and have multiple Nissan Suvs in stock! Visit us online at www.EmpireAutoGroup.ca to view our full line-up of Nissan Muranos or  similar Suvs. New Vehicles Arriving Daily! FINANCING AVAILABLE FOR THIS LIKE NEW NISSAN MURANO! REGARDLESS OF YOUR CURRENT CREDIT SITUATION! APPLY WITH CONFIDENCE! SAME DAY APPROVALS! www.EMPIREAUTOGROUP.CA or CALL 519-659-0888. THIS LIKE NEW NISSAN MURANO INCLUDES: * Wide range of options that you will enjoy. * Comfortable interior seating. * Safety Options to protect your loved ones. * This handpicked Nissan Murano has Empire Auto Group's Seal of Approval. * This Nissan Murano looks sharp in black. SEE MORE AT : www.EMPIREAUTOGROUP.CA.",suv,https://empireautolondon.com/inventory/E2600/01.jpg,"06/07/2020 12:28:22",https://empireautolondon.com/inventory/tile2.jpg;https://empireautolondon.com/inventory/E2600/02.jpg;https://empireautolondon.com/inventory/E2600/03.jpg;https://empireautolondon.com/inventory/E2600/04.jpg;https://empireautolondon.com/inventory/E2600/05.jpg;https://empireautolondon.com/inventory/E2600/06.jpg;https://empireautolondon.com/inventory/E2600/07.jpg;https://empireautolondon.com/inventory/E2600/08.jpg;https://empireautolondon.com/inventory/E2600/09.jpg;https://empireautolondon.com/inventory/E2600/10.jpg;https://empireautolondon.com/inventory/E2600/11.jpg;https://empireautolondon.com/inventory/E2600/12.jpg;https://empireautolondon.com/inventory/E2600/13.jpg;https://empireautolondon.com/inventory/E2600/14.jpg;https://empireautolondon.com/inventory/E2600/15.jpg,"06/07/2020 10:45:58;06/07/2020 12:28:22;06/07/2020 12:28:23;06/07/2020 12:28:23;06/07/2020 12:28:23;06/07/2020 12:28:23;06/07/2020 12:28:23;06/07/2020 12:28:24;06/07/2020 12:28:24;06/07/2020 12:28:24;06/07/2020 12:28:24;06/07/2020 12:28:24;06/07/2020 12:28:25;06/07/2020 12:28:24;06/07/2020 12:28:25"
